% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000096          16         6           ftruncate
 27.66  557.700370        2666    209222     67898 futex
  0.00    0.000013           1         9           getcwd
  0.01    0.107915           6     19602           getdents
  0.00    0.000006           2         3           getegid
  0.00    0.000015           1        15           geteuid
  0.00    0.000007           2         3           getgid
  0.00    0.000005           1         8           getpid
  0.00    0.000005           3         2           getppid
  0.00    0.001602          27        59         2 getsockname
  0.00    0.002404          49        49           getsockopt
  0.00    0.000263           3        92           gettid
  0.00    0.000017           3         5           getuid
  0.00    0.000058           1        70         6 ioctl
  0.00    0.027417           1     28054        47 lseek
  0.01    0.226148           3     88694        18 lstat
  0.00    0.001712          16       104           madvise
  0.00    0.000000           0         2         2 mkdir
  0.00    0.012230           5      2493           mmap
  0.00    0.015375           2      7615           mprotect
  0.00    0.002319           3       770           munmap
  0.00    0.041088           3     14102       664 openat
  0.00    0.000020           1        16           pipe
  0.00    0.049272          93       532           poll
  0.00    0.000343           4        90           prctl
  0.00    0.000007           0        17           prlimit64
  0.01    0.149356           4     40877           read
  0.00    0.000093           2        47         1 readlink
 70.17 1414.613660        1411   1002208           recvfrom
  0.00    0.017654        1261        14           recvmsg
  0.00    0.000053           1        61           rt_sigaction
  0.00    0.000862           3       344           rt_sigprocmask
  0.00    0.000129           1        94           rt_sigreturn
  0.00    0.000718           4       190           sched_getaffinity
  0.01    0.272379           7     37827           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.51   10.284273          10   1000388           sendto
  0.00    0.000253           3        96           set_robust_list
  0.00    0.000004           2         2           set_tid_address
  0.00    0.004370          30       147           setsockopt
  0.00    0.000000           0         1           shutdown
  0.00    0.026848         320        84           socket
  0.00    0.000013           7         2           socketpair
  0.03    0.504698           3    163304      3074 stat
  0.00    0.000021           5         4           sysinfo
  0.00    0.000017           3         5           uname
  0.00    0.000013           4         3           unlink
  0.00    0.000476           2       191           utimes
  1.58   31.800380     1870611        17           wait4
  0.00    0.018982           1     15028           write
------ ----------- ----------- --------- --------- ----------------
100.00 2015.956226               2666363     71841 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000259           1       234        69 access
  0.00    0.000008           1         9           arch_prctl
  0.00    0.000005           1         4           bind
  0.00    0.000054           1        38           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000010           3         4           clock_getres
  0.00    0.001111          10       109           clone
  0.00    0.028074           2     13389           close
  0.00    0.002534          30        84        69 connect
  0.00    0.000278           4        64           dup2
  0.00    0.000010           1        20        11 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000017           2         8           fchdir
  0.00    0.019423           6      3071           fcntl
  0.00    0.023243           1     16881           fstat
  0.00    0.000036           6         6           ftruncate
 27.60  588.103356        2418    243228     85392 futex
  0.00    0.000016           2         9           getcwd
  0.01    0.124544           6     19606           getdents
  0.00    0.000000           0         3           getegid
  0.00    0.000020           1        15           geteuid
  0.00    0.000000           0         3           getgid
  0.00    0.000012           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.004335          73        59         2 getsockname
  0.00    0.003620          74        49           getsockopt
  0.00    0.000190           2        92           gettid
  0.00    0.000005           1         5           getuid
  0.00    0.000043           1        71         7 ioctl
  0.00    0.026658           1     28054        47 lseek
  0.01    0.224078           3     88696        18 lstat
  0.00    0.001573          18        88           madvise
  0.00    0.000007           4         2         2 mkdir
  0.00    0.011764           5      2568           mmap
  0.00    0.019509           3      7571           mprotect
  0.00    0.001940           3       776           munmap
  0.00    0.037216           3     14173       694 openat
  0.00    0.000012           1        16           pipe
  0.00    0.033274          49       682           poll
  0.00    0.000312           3        90           prctl
  0.00    0.000045           3        18           prlimit64
  0.01    0.179827           4     40930           read
  0.00    0.000110           2        49         2 readlink
 70.15 1494.999734        1496    999164           recvfrom
  0.00    0.006257         626        10           recvmsg
  0.00    0.000314           2       127           rt_sigaction
  0.00    0.000757           2       344           rt_sigprocmask
  0.00    0.000436           4        97           rt_sigreturn
  0.00    0.000667           3       191           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.01    0.263647          10     26292           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.61   12.956826          13   1000463           sendto
  0.00    0.000298           3        97           set_robust_list
  0.00    0.000003           1         3           set_tid_address
  0.00    0.017512         119       147           setsockopt
  0.00    0.000000           0         1           shutdown
  0.01    0.229507        2732        84           socket
  0.00    0.000002           1         2           socketpair
  0.03    0.557808           3    163333      3094 stat
  0.00    0.000020           4         5           sysinfo
  0.00    0.000024           5         5           uname
  0.00    0.000029          10         3           unlink
  0.00    0.000414           2       191           utimes
  1.55   33.108139     1947538        17           wait4
  0.00    0.038426           3     15180           write
------ ----------- ----------- --------- --------- ----------------
100.00 2131.028348               2686550     89407 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000398           2       234        69 access
  0.00    0.000015           2         9           arch_prctl
  0.00    0.000022           6         4           bind
  0.00    0.000079           2        38           brk
  0.00    0.000011           2         5           chdir
  0.00    0.000017           4         4           clock_getres
  0.00    0.002203          20       109           clone
  0.00    0.031456           2     13389           close
  0.00    0.007082          84        84        69 connect
  0.00    0.000118           2        64           dup2
  0.00    0.000037           2        20        11 execve
  0.00    0.000018           9         2           faccessat
  0.00    0.000029           4         8           fchdir
  0.00    0.024426           8      3071           fcntl
  0.00    0.028752           2     16881           fstat
  0.00    0.000044           7         6           ftruncate
 27.16  586.633446        3252    180373     67732 futex
  0.00    0.000011           1         9           getcwd
  0.00    0.105729           5     19606           getdents
  0.00    0.000006           2         3           getegid
  0.00    0.000048           3        15           geteuid
  0.00    0.000006           2         3           getgid
  0.00    0.000014           2         9           getpid
  0.00    0.000006           3         2           getppid
  0.00    0.008767         149        59         2 getsockname
  0.00    0.007334         150        49           getsockopt
  0.00    0.000264           3        92           gettid
  0.00    0.000006           1         5           getuid
  0.00    0.000156           2        71         7 ioctl
  0.00    0.021021           1     28058        47 lseek
  0.01    0.261943           3     88698        18 lstat
  0.00    0.001248          13        94           madvise
  0.00    0.000011           6         2         2 mkdir
  0.00    0.009322           4      2401           mmap
  0.00    0.014793           2      6996           mprotect
  0.00    0.001470           2       764           munmap
  0.00    0.041609           3     14173       694 openat
  0.00    0.000078           5        16           pipe
  0.00    0.035159          62       566           poll
  0.00    0.000314           3        90           prctl
  0.00    0.000057           3        18           prlimit64
  0.00    0.067766           2     40956           read
  0.00    0.000077           2        49         2 readlink
 70.55 1523.540777        1522   1001314           recvfrom
  0.00    0.008345         835        10           recvmsg
  0.00    0.000187           1       127           rt_sigaction
  0.00    0.001295           4       345           rt_sigprocmask
  0.00    0.000133           2        86           rt_sigreturn
  0.00    0.000726           4       191           sched_getaffinity
  0.00    0.000000           0         1           sched_setaffinity
  0.00    0.080419          10      7908           sched_yield
  0.00    0.000000           0         1           sendmmsg
  0.63   13.499683          13   1000405           sendto
  0.00    0.000271           3        97           set_robust_list
  0.00    0.000004           1         3           set_tid_address
