,Run Number,Number of Threads,access,arch_prctl,bind,brk,chdir,clock_getres,clone,close,connect,dup2,execve,faccessat,fchdir,fcntl,fstat,ftruncate,futex,getcwd,getdents,getegid,geteuid,getgid,getpid,getppid,getsockname,getsockopt,gettid,getuid,ioctl,kill,lseek,lstat,madvise,mkdir,mmap,mprotect,munmap,openat,pipe,poll,prctl,prlimit64,read,readlink,recvfrom,recvmsg,rt_sigaction,rt_sigprocmask,rt_sigreturn,sched_getaffinity,sched_setaffinity,sched_yield,sendmmsg,sendto,set_robust_list,set_tid_address,setsockopt,shutdown,socket,socketpair,stat,sysinfo,uname,unlink,utimes,wait4,write
34,2,68,234,9,4,38,5,4,161,13263,104,84,23,2,8,3151,16735,6,204855,9,19322,3,15,3,9,2,79,69,144,5,71,2,28004,88218,126,2,2645,7297,812,14027,16,84,142,18,40958,49,1382,10,135,521,114,295,1,8846,1,1214,149,3,207,1,104,2,162522,5,5,3,191,17,14658
35,3,68,234,9,4,38,5,4,161,13262,108,84,23,2,8,3151,16731,6,203915,9,19322,3,15,3,9,2,79,69,144,5,77,2,27972,88218,132,2,2643,6992,815,14024,16,82,142,18,40910,49,1478,10,135,521,88,295,1,165613,1,1213,149,3,207,1,106,2,162522,5,5,3,191,17,14656
36,1,92,234,9,4,38,5,4,185,13291,133,107,23,2,8,3243,16735,6,203709,9,19322,3,15,3,9,2,102,92,168,5,80,2,28006,88222,153,2,2754,6998,854,14029,16,109,166,18,40875,49,1578,10,135,617,97,343,1,41830,1,1284,173,3,276,1,130,2,162530,5,5,3,191,17,14767
37,2,92,234,9,4,38,5,4,185,13290,130,108,23,2,8,3247,16735,6,204280,9,19322,3,15,3,9,2,103,93,168,5,74,2,28004,88222,152,2,2743,6956,845,14029,16,106,166,18,40971,49,1608,10,135,617,93,343,1,11465,1,1285,173,3,279,1,129,2,162530,5,5,3,191,17,14775
38,3,92,234,9,4,38,5,4,185,13288,132,108,23,2,8,3247,16731,6,204624,9,19322,3,15,3,9,2,103,93,168,5,77,2,27974,88222,160,2,2747,7312,865,14026,16,108,166,18,40913,49,1524,10,135,616,92,343,1,4302,1,1286,173,3,279,1,130,2,162530,5,5,3,191,17,14776
39,1,96,234,9,4,38,5,4,189,13292,134,112,23,2,8,3263,16735,6,206701,9,19322,3,15,3,9,2,107,97,172,5,75,2,28004,88226,163,2,2750,7189,856,14027,16,114,170,18,40953,49,1566,10,135,633,118,351,1,679327,1,1299,177,3,291,1,133,2,162538,5,5,3,191,17,14804
40,2,96,234,9,4,38,5,4,189,13294,136,112,23,2,8,3263,16735,6,204494,9,19322,3,15,3,9,2,107,97,172,5,77,2,28006,88226,147,2,2754,7063,856,14028,16,112,170,18,40967,49,1576,10,135,631,94,351,1,187956,1,1298,177,3,291,1,134,2,162538,5,5,3,191,17,14793
41,3,96,234,9,4,38,5,4,189,13289,134,112,23,2,8,3263,16731,6,201099,9,19322,3,15,3,9,2,107,97,172,5,74,2,27974,88226,161,2,2766,7157,863,14024,16,110,170,18,40916,49,1530,10,135,633,87,351,1,5463,1,1297,177,3,291,1,133,2,162538,5,5,3,191,17,14700
42,1,100,234,9,4,38,5,4,193,13301,138,116,23,2,8,3279,16739,6,207965,9,19322,3,15,3,9,2,111,101,176,5,79,2,28036,88230,138,2,2772,7209,854,14032,16,114,174,18,41003,49,1606,15,135,647,117,359,1,368227,1,1309,181,3,303,1,137,2,162546,5,5,3,191,17,14814
43,2,100,234,9,4,38,5,4,193,13297,138,116,23,2,8,3279,16735,6,213018,9,19322,3,15,3,9,2,111,101,176,5,74,2,28004,88230,161,2,2765,7404,848,14028,16,118,174,18,40885,49,1570,10,135,649,121,359,1,927136,1,1311,181,3,303,1,137,2,162546,5,5,3,191,17,14828
44,3,100,234,9,4,38,5,4,193,13296,138,116,23,2,8,3279,16735,6,207276,9,19322,3,15,3,9,2,111,101,176,5,75,2,28006,88230,156,2,2777,7286,862,14027,16,116,174,18,40970,49,1562,10,135,649,126,359,1,391294,1,1310,181,3,303,1,137,2,162546,5,5,3,191,17,14821
