% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000012           6         2         2 mkdir
  0.00    0.257380          97      2662           mmap
  0.02    2.016829         232      8710           mprotect
  0.00    0.002664           3       798           munmap
  0.00    0.040627           3     14136       694 openat
  0.00    0.000037           2        16           pipe
  0.00    0.003414          41        84           poll
  0.00    0.000645           5       126           prctl
  0.00    0.000067           4        18           prlimit64
  0.00    0.084917           2     41054           read
  0.00    0.000100           2        50         2 readlink
  4.64  466.796345         466   1002256           recvfrom
  0.00    0.007167         717        10           recvmsg
  0.00    0.000402           3       135           rt_sigaction
  0.00    0.001486           3       456           rt_sigprocmask
  0.00    0.000449           3       132           rt_sigreturn
  0.00    0.001132           4       263           sched_getaffinity
  0.00    0.000007           7         1           sched_setaffinity
  4.00  402.561798          13  31192596           sched_yield
  0.00    0.000000           0         1           sendmmsg
  1.19  119.244876         119   1000174           sendto
  0.00    0.000381           3       133           set_robust_list
  0.00    0.000008           3         3           set_tid_address
  0.00    0.021288         134       159           setsockopt
  0.00    0.000001           1         1           shutdown
  0.00    0.489880        5567        88           socket
  0.00    0.000003           2         2           socketpair
  0.00    0.466719           3    163238      3097 stat
  0.00    0.000053          11         5           sysinfo
  0.00    0.000005           1         5           uname
  0.00    0.000066          22         3           unlink
  0.00    0.000616           3       191           utimes
