% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.01    0.005798           3      2215           mmap
  0.02    0.011825           2      5976           mprotect
  0.00    0.001266           2       761           munmap
  0.07    0.037278           3     14095       694 openat
  0.00    0.000022           1        16           pipe
  0.01    0.003165          47        68           poll
  0.00    0.000306           3        94           prctl
  0.00    0.000043           2        18           prlimit64
  0.09    0.049697           1     40834           read
  0.00    0.000080           2        49         2 readlink
 11.04    5.914296        4494      1316           recvfrom
  0.01    0.004085         511         8           recvmsg
  0.00    0.000333           3       127           rt_sigaction
  0.00    0.000692           2       360           rt_sigprocmask
  0.00    0.000106           1        71           rt_sigreturn
  0.00    0.000675           3       198           sched_getaffinity
  0.01    0.004357           4      1043           sched_yield
  0.00    0.000007           7         1           sendmmsg
  0.08    0.043310          37      1165           sendto
  0.00    0.000275           3       101           set_robust_list
  0.00    0.000008           3         3           set_tid_address
  0.02    0.008678          55       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.18    0.095217        1035        92           socket
  0.00    0.000000           0         2           socketpair
  0.94    0.505834           3    162880      3097 stat
  0.00    0.000041           8         5           sysinfo
  0.00    0.000020           4         5           uname
  0.00    0.000007           2         3           unlink
  0.00    0.000124           1       191           utimes
  2.25    1.204381       70846        17           wait4
  0.03    0.015031           1     14576           write
------ ----------- ----------- --------- --------- ----------------
100.00   53.586463                466965     12343 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000203           1       227        62 access
  0.00    0.000004           1         7           arch_prctl
  0.00    0.000010           3         4           bind
  0.00    0.000052           2        32           brk
  0.00    0.000000           0         5           chdir
  0.00    0.000012           3         4           clock_getres
  0.00    0.001470          13       113           clone
  0.05    0.026510           2     13316           close
  0.02    0.011700         130        90        74 connect
  0.00    0.000130           2        68           dup2
  0.00    0.000036           2        19        12 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000020           3         8           fchdir
  0.06    0.031310          10      3087           fcntl
  0.05    0.024533           1     16803           fstat
  0.00    0.000028           5         6           ftruncate
 90.49   48.920313        1013     48295      7976 futex
  0.00    0.000011           1         9           getcwd
  0.16    0.085906           4     19482           getdents
  0.00    0.000003           1         3           getegid
  0.00    0.000024           2        15           geteuid
  0.00    0.000003           1         3           getgid
  0.00    0.000011           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.02    0.008739         139        63         2 getsockname
  0.01    0.002776          52        53           getsockopt
  0.00    0.000184           2        96           gettid
  0.00    0.000010           2         5           getuid
  0.00    0.000199           3        75         7 ioctl
  0.04    0.020128           1     28004        47 lseek
  0.43    0.232359           3     88434        18 lstat
  0.00    0.001315          15        88           madvise
  0.00    0.000007           4         2         2 mkdir
  0.01    0.005849           3      2190           mmap
  0.02    0.011465           2      5901           mprotect
  0.00    0.001297           2       758           munmap
  0.07    0.035358           3     14095       694 openat
  0.00    0.000009           1        16           pipe
  0.01    0.006680          98        68           poll
  0.00    0.000366           4        94           prctl
  0.00    0.000040           2        18           prlimit64
  0.07    0.040125           1     40742           read
  0.00    0.000069           1        49         2 readlink
  6.36    3.435600        2619      1312           recvfrom
  0.02    0.008387         839        10           recvmsg
  0.00    0.000318           3       127           rt_sigaction
  0.00    0.001065           3       360           rt_sigprocmask
  0.00    0.000039           1        70           rt_sigreturn
  0.00    0.000779           4       198           sched_getaffinity
  0.00    0.000751           2       364           sched_yield
  0.00    0.000010          10         1           sendmmsg
  0.13    0.068369          59      1166           sendto
  0.00    0.000258           3       101           set_robust_list
  0.00    0.000004           1         3           set_tid_address
  0.04    0.022753         143       159           setsockopt
  0.00    0.000000           0         1           shutdown
  0.22    0.118590        1332        89           socket
  0.00    0.000000           0         2           socketpair
  0.92    0.497265           3    162872      3097 stat
  0.00    0.000043           9         5           sysinfo
  0.00    0.000015           3         5           uname
  0.00    0.000047          16         3           unlink
  0.00    0.000069           0       191           utimes
  0.79    0.427815       25166        17           wait4
  0.01    0.007299           1     14577           write
------ ----------- ----------- --------- --------- ----------------
100.00   54.058740                463993     11993 total
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
  0.00    0.000176           1       227        62 access
  0.00    0.000014           2         7           arch_prctl
  0.00    0.000005           2         3           bind
  0.00    0.000083           2        34           brk
  0.00    0.000017           3         5           chdir
  0.00    0.000007           2         4           clock_getres
  0.00    0.001097          10       113           clone
  0.07    0.039721           3     13315           close
  0.01    0.005419          56        96        77 connect
  0.00    0.000201           3        68           dup2
  0.00    0.000063           3        21        14 execve
  0.00    0.000000           0         2           faccessat
  0.00    0.000016           2         8           fchdir
  0.02    0.009086           3      3087           fcntl
  0.06    0.035684           2     16800           fstat
  0.00    0.000025           4         6           ftruncate
 89.78   53.532763        1075     49820      8216 futex
  0.00    0.000015           2         9           getcwd
  0.20    0.117745           6     19482           getdents
  0.00    0.000002           1         3           getegid
  0.00    0.000017           1        15           geteuid
  0.00    0.000002           1         3           getgid
  0.00    0.000010           1         9           getpid
  0.00    0.000000           0         2           getppid
  0.00    0.001666          27        62         2 getsockname
  0.01    0.003280          62        53           getsockopt
  0.00    0.000368           4        96           gettid
  0.00    0.000007           1         5           getuid
  0.00    0.000023           0        84         7 ioctl
  0.04    0.023942           1     27972        47 lseek
  0.52    0.309724           4     88436        18 lstat
